u/M,Real_h,Imag_h,Redh/M,Imdh/M,Momega,A/M,phi,time,Amplitude,time_sec,phase_raw,phase_unwrapped,Frequency,Phase
-159.71835362938768,0.0,0.0,1.1393104255284077e-17,-7.142575920992827e-18,0.6322459549802052,0.0,-0.0,0.0,0.0,-0.009441181047209599,-0.0,-0.0,35528.15200534169,-47.14879991237037
-158.51760316034452,3.645793361690905e-17,-2.285624294717705e-17,3.150595128167189e-11,-2.7720980914639384e-11,0.3004698854012867,4.303009139283029e-17,0.5599794914110271,1.57615710304e-05,4.3030091392830295e-17,-0.0094254194761792,0.5599794914110271,0.5599794914110271,22890.443797326858,-46.78801055654144
-157.3168526913014,2.0163808820270006e-10,-1.7741427785369208e-10,5.140483217284461e-09,-6.0929080296224685e-09,0.12908657793459005,2.685772600209983e-10,0.7215787116578742,3.15231420608e-05,2.6857726002099825e-10,-0.0094096579051488,0.7215787116578745,0.7215787116578745,9834.093866859726,-46.6330097875393
-156.1161022222582,3.289909262707849e-08,-3.899461141244004e-08,6.086728142168029e-08,-9.547035248579904e-08,0.11723513377952131,5.101891820582135e-08,0.8699810294152959,4.72847130912e-05,5.1018918205821345e-08,-0.009393896334118398,0.869981029415296,0.869981029415296,8931.225294901287,-46.4922396456652
-154.91535175321508,3.8975223918695666e-07,-6.111876701869676e-07,2.4324900389082005e-07,-5.084951103049756e-07,0.10456236344962871,7.248842501667559e-07,1.003118995406068,6.30462841216e-05,7.248842501667561e-07,-0.009378134763087999,1.0031189954060682,1.0031189954060682,7965.786323853459,-46.3666863387088
-153.71460128417192,1.5896927175283268e-06,-3.293363317364284e-06,5.205169508356965e-07,-1.5196233823294744e-06,0.0924992727645271,3.656961153242304e-06,1.1210876433281003,7.8807855152e-05,3.6569611532423034e-06,-0.0093623731920576,1.1210876433281,1.1210876433281,7046.794062846686,-46.25561779355065
-152.51385081512876,3.721060724535413e-06,-1.03367773170956e-05,7.110572239829112e-07,-3.192217171009513e-06,0.08179602522241065,1.0986139368263183e-05,1.2252560857223809,9.45694261824e-05,1.098613936826318e-05,-0.0093466116210272,1.2252560857223807,1.2252560857223807,6231.397584811719,-46.15740117789897
-151.31310034608563,6.140458951018958e-06,-2.3723553211825165e-05,6.228000122638993e-07,-5.3603115872366525e-06,0.07269976943938072,2.450535070394727e-05,1.3175208746314504,0.00011033099721279999,2.450535070394727e-05,-0.009330850049996798,1.3175208746314504,1.3175208746314504,5538.425204270199,-46.0701068956453
-150.11234987704245,7.706980803024369e-06,-4.464277147541018e-05,1.5439598886924465e-07,-7.76798282916249e-06,0.06517170726121971,4.530314115051938e-05,1.3998446502297115,0.0001260925682432,4.530314115051938e-05,-0.009315088478966399,1.3998446502297115,1.3998446502297115,4964.921194170362,-45.99185193758305
-148.91159940799932,7.1285932797821245e-06,-7.343864331846512e-05,-7.040103601586126e-07,-1.01773776924606e-05,0.05904566632449201,7.37838137710792e-05,1.4740307907559556,0.0001418541392736,7.37838137710792e-05,-0.009299326907935999,1.4740307907559556,1.4740307907559556,4498.226185534106,-45.92095282604895
