time,Real_h,Imag_h,Amplitude,time_sec,phase_raw,phase_unwrapped,Frequency,Phase
-0.0008198230420286138,0.0008347554611301998,-0.0012251182184703391,0.001482474731357884,-0.03867091602957278,-0.9726853107171719,-0.9726853107171719,1705.982109600863,-146.43614996571566
-0.0008148975591878721,0.0008403999534035702,-0.00121140078051644,0.001474368994762357,-0.03866599054673204,-0.9642825251097192,-0.9642825251097192,1705.114317497937,-146.4277514544033
-0.0008099720763471305,0.0008458314160686029,-0.0011976380432127903,0.0014662086028117483,-0.038661065063891296,-0.9558882880924912,-0.9558882880924912,1703.039476386315,-146.41936316268527
-0.0008050465935063888,0.0008510416803693374,-0.0011838305241832691,0.0014579871918895238,-0.038656139581050554,-0.9475059416736237,-0.9475059416736237,1701.1421944822505,-146.41098421599668
-0.0008001211106656471,0.0008560386351232859,-0.0011699801123316188,0.0014497088011305049,-0.03865121409820981,-0.9391303947153206,-0.9391303947153206,1700.3023271575657,-146.40260940606018
-0.0007951956278249054,0.0008608303658659258,-0.0011560884002103375,0.0014413775729827912,-0.038646288615369076,-0.9307563218006574,-0.9307563218006574,1699.9936454284034,-146.39423611653027
-0.0007902701449841637,0.0008654145979531005,-0.001142156185575147,0.0014329909904105802,-0.038641363132528334,-0.9223838156554748,-0.9223838156554748,1700.7849951334065,-146.38585892922094
-0.0007853446621434219,0.0008698054478960521,-0.0011281799106391056,0.0014245530625284942,-0.03863643764968759,-0.9140019471820138,-0.9140019471820138,1704.6198022971366,-146.37746285363474
-0.0007804191793026802,0.0008740315764754239,-0.0011141562681935867,0.001416077464911851,-0.03863151216684685,-0.905591664483066,-0.905591664483066,1713.150200149481,-146.36902476172028
-0.0007754936964619386,0.0008781364082640008,-0.0011000823308113612,0.0014075882516141418,-0.038626586684006106,-0.8971257633531122,-0.8971257633531122,1728.2459354969178,-146.36051231602042
-0.0007705682136211969,0.0008821806311213537,-0.0010859538096534536,0.0013991205604330598,-0.038621661201165364,-0.8885667730833202,-0.8885667730833202,1750.7517480675742,-146.35188901832691
-0.0007656427307804552,0.0008862220934832575,-0.001071767329722634,0.0013907101811803323,-0.03861673571832462,-0.8798791679660988,-0.8798791679660988,1779.3088359931571,-146.34312506318685
-0.0007607172479397135,0.0008903006001727682,-0.0010575225581084273,0.0013823853006944855,-0.03861181023548388,-0.8710388628031887,-0.8710388628031887,1810.5776796414284,-146.33420709389395
