u/M,Real_h,Imag_h,Redh/M,Imdh/M,Momega,A/M,phi,time,Amplitude,time_sec,phase_raw,phase_unwrapped,Frequency,Phase
-381.8172,0.0001410477,-0.001340195,2.459191e-05,4.6067650000000003e-07,0.0001907514,0.001347597,1.465938,0.0,0.0013475967837971007,-0.03537593988739855,1.465938175594762,1.465938175594762,2749.0686410101052,-133.41293940678744
-381.4527,0.0001231132,-0.001341237,2.467586e-05,1.272269e-07,0.0001903198,0.001346875,1.479262,4.846683091848e-06,0.0013468754768660835,-0.0353710932043067,1.4792620400954801,1.4792620400954801,2754.324338512437,-133.3995900695865
-381.0883,0.0001051064,-0.001342029,2.475569e-05,-2.111753e-07,0.0001899701,0.001346139,1.492637,9.693366183696e-06,0.0013461386229367167,-0.03536624652121486,1.4926368499966198,1.4926368499966198,2764.8891412379453,-133.38618952813485
-380.7238,8.703051999999998e-05,-0.001342571,2.483092e-05,-5.483645000000001e-07,0.0001896156,0.001345389,1.506063,1.4540049275543999e-05,0.0013453888662585515,-0.03536139983812301,1.5060631229988146,1.5060631229988146,2775.5576204453537,-133.37273727994537
-380.3594,6.888865e-05,-0.001342861,2.490182e-05,-8.881724e-07,0.000189245,0.001344627,1.519541,1.9386732367392e-05,0.0013446268298006785,-0.03535655315503116,1.5195413463755545,1.5195413463755545,2786.326525042474,-133.35923283828808
-379.9949,5.068396e-05,-0.001342898,2.496815e-05,-1.22765e-06,0.0001888924,0.001343854,1.533072,2.423341545924e-05,0.0013438541223679307,-0.03535170647193931,1.5330720063134062,1.5330720063134062,2797.1977610333124,-133.3456757071951
-379.6305,3.241963e-05,-0.001342683,2.503005e-05,-1.569033e-06,0.0001885305,0.001343074,1.546656,2.9080098551087998e-05,0.0013430743355817415,-0.03534685978884747,1.5466556085614553,1.5466556085614553,2808.1593694784096,-133.33206544865985
-379.266,1.409886e-05,-0.001342213,2.508736e-05,-1.910343e-06,0.0001881643,0.001342287,1.560293,3.3926781642936e-05,0.001342287046507676,-0.03534201310575562,1.5602925233839278,1.5602925233839278,2819.2041623869154,-133.31840165951354
-378.9016,-4.275149e-06,-0.001341488,2.514018e-05,-2.253158e-06,0.0001878156,0.001341495,1.573983,3.8773464734784e-05,0.001341494812156563,-0.03533716642266377,1.5739831868540817,1.5739831868540817,2830.3304991877812,-133.3046839445388
-378.5371,-2.269915e-05,-0.001340508,2.518838e-05,-2.595973e-06,0.0001874678,0.001340701,1.587728,4.3620147826632e-05,0.0013407001713562666,-0.03533231973957192,1.587727953333448,1.587727953333448,2841.5277671481017,-133.29091195995474
-378.1727,-4.11699e-05,-0.001339272,2.523202e-05,-2.940005e-06,0.0001871077,0.001339905,1.601527,4.846683091848e-05,0.0013399046423719899,-0.035327473056480076,1.6015271560221787,1.6015271560221787,2852.789704934141,-133.27708539232725
-377.8082,-5.968411e-05,-0.001337779,2.527101e-05,-3.284034e-06,0.0001867552,0.00133911,1.615381,5.3313514010328e-05,0.00133910972135501,-0.035322626373388226,1.6153810885884432,1.6153810885884432,2864.109520612954,-133.26320396114048
-377.4437,-7.823852e-05,-0.001336029,2.53054e-05,-3.629047e-06,0.0001864179,0.001338318,1.62929,5.8160197102175996e-05,0.0013383178825872389,-0.035317779690296376,1.6292900183957,1.6292900183957,2875.4808205512236,-133.2492674168666
-377.0793,-9.682981e-05,-0.001334021,2.533511e-05,-3.97401e-06,0.0001860638,0.001337531,1.643254,6.3006880194024e-05,0.0013375305755554286,-0.035312933007204526,1.643254177136251,1.643254177136251,2886.8960772257997,-133.23527554646117
-376.7148,-0.0001154547,-0.001331755,2.536017e-05,-4.319753e-06,0.0001857202,0.00133675,1.657274,6.7853563285872e-05,0.0013367502263987427,-0.035308086324112684,1.6572737592065152,1.6572737592065152,2898.346241072053,-133.22122818074024
-376.3504,-0.0001341098,-0.00132923,2.538051e-05,-4.665376e-06,0.000185368,0.001335979,1.671349,7.270024637772e-05,0.0013359782301205511,-0.035303239641020834,1.6713489085780913,1.6713489085780913,2909.806842898164,-133.20712526911421
-375.9859,-0.0001527917,-0.001326447,2.539617e-05,-5.011592e-06,0.0001850155,0.001335218,1.68548,7.7546929469568e-05,0.0013352179400374644,-0.035298392957928984,1.6854795824585618,1.6854795824585618,2921.3035158735292,-133.1929666367577
-375.6215,-0.0001714973,-0.001323404,2.540709e-05,-5.357601e-06,0.0001846741,0.001334469,1.699666,8.2393612561416e-05,0.0013344697340604208,-0.035293546274837134,1.6996661732911822,1.6996661732911822,2932.8175750820665,-133.17875219940507
-375.257,-0.0001902229,-0.001320101,2.541329e-05,-5.704029e-06,0.0001843095,0.001333736,1.713908,8.7240295653264e-05,0.0013337358816067782,-0.03528869959174529,1.7139084571638015,1.7139084571638015,2944.319667733449,-133.16448201505446
-374.8926,-0.0002089653,-0.001316538,2.541471e-05,-6.050153e-06,0.000183969,0.001333019,1.728207,9.2086978745112e-05,0.0013330186803072529,-0.03528385290865344,1.7282065419923707,1.7282065419923707,2955.8114086513524,-133.15015613387746
