time,Real_h,Imag_h,Amplitude,time_sec,phase_raw,phase_unwrapped,Frequency,Phase
-0.007393962430528711,0.01953396371631607,-0.13821507261766072,0.13958861714758686,-0.007397693363118358,-1.4303959960220853,-1.4303959960220853,4352.479832214428,-40.78354593982161
-0.007385687605737752,0.024508480460810715,-0.13747986506341073,0.1396473376486339,-0.007389418538327398,-1.3943799880043264,-1.3943799880043264,4353.471007364278,-40.74752173000314
-0.0073774127809467915,0.029458170062337502,-0.13656770264117143,0.13970870118968617,-0.007381143713536438,-1.3583475763851593,-1.3583475763851593,4355.427709714597,-40.711481328815566
-0.007369137956155831,0.03437677993290358,-0.135479431797,0.13977281366057298,-0.007372868888745478,-1.3222991856291626,-1.3222991856291626,4357.321100476154,-40.67542526015117
-0.007360863131364872,0.039258063856553574,-0.13421612561482144,0.13983977957941282,-0.007364594063954518,-1.286235439056374,-1.286235439056374,4359.128999684384,-40.63935423143759
-0.007352588306573911,0.04409579331829286,-0.132779080678925,0.1399096967844262,-0.007356319239163558,-1.2501571282020014,-1.2501571282020014,4360.834225048093,-40.60326909228289
-0.007344313481782951,0.04888377168517143,-0.1311698146556,0.1399826539645267,-0.007348044414372598,-1.2140651607469817,-1.2140651607469817,4362.426129519983,-40.56717078039761
-0.007336038656991991,0.05361584947984643,-0.12939006510585357,0.14005873147912834,-0.007339769589581637,-1.1779605044314314,-1.1779605044314314,4363.900069889831,-40.531060271914015
-0.007327763832201032,0.05828593881917143,-0.12744178944501072,0.14013800469886334,-0.007331494764790679,-1.141844143779794,-1.141844143779794,4365.255178928739,-40.49493855014055
-0.007319489007410072,0.062888025388825,-0.12532716539030714,0.1402205481449666,-0.007323219939999718,-1.1057170608845037,-1.1057170608845037,4366.491304162897,-40.45880659964735
-0.007311214182619112,0.06741617701332857,-0.1230485908928143,0.14030643835476558,-0.007314945115208758,-1.0695802427933945,-1.0695802427933945,4367.606171143911,-40.42266542382522
-0.007302939357828151,0.07186454877193572,-0.12060868259212143,0.14039575380616404,-0.007306670290417798,-1.0334347092402378,-1.0334347092402378,4368.593664914348,-40.38651607666515
-0.007294664533037192,0.07622738543629286,-0.11801027221136429,0.14048857120012806,-0.007298395465626838,-0.9972815484732674,-0.9972815484732674,4369.443679432268,-40.35035969578389
-0.0072863897082462315,0.08049902253513214,-0.11525640087364286,0.14058495855338712,-0.007290120640835878,-0.9611219474776996,-0.9611219474776996,4370.143444102614,-40.314197524472576
-0.007278114883455271,0.08467388743620001,-0.112350311812775,0.14068496642493838,-0.007281845816044918,-0.9249572058506415,-0.9249572058506415,4370.679814179588,-40.27803091479285
-0.007269840058664312,0.08874650153107858,-0.10929544221205714,0.14078861893752226,-0.007273570991253958,-0.8887887281182573,-0.8887887281182573,4371.04187134251,-40.24186130915354
-0.0072615652338733514,0.09271148412807499,-0.10609541484410358,0.14089590604475608,-0.007265296166462998,-0.8526179945720243,-0.8526179945720243,4371.2233128360895,-40.205690202117665
-0.007253290409082391,0.09656355823774286,-0.10275402993889285,0.1410067780222527,-0.007257021341672038,-0.8164465140464978,-0.8164465140464978,4371.224342238667,-40.16951908656366
-0.007245015584291431,0.10029755819322857,-0.09927525747414642,0.14112114273234233,-0.007248746516881077,-0.7802757634640128,-0.7802757634640128,4371.052912414918,-40.13334938956141
-0.007236740759500472,0.10390843892422857,-0.09566323006446428,0.14123886598963034,-0.007240471692090119,-0.7441071200420052,-0.7441071200420052,4370.72511520113,-40.09718240502367
-0.007228465934709512,0.10739128653715715,-0.0919222368741893,0.14135977524055546,-0.0072321968672991585,-0.707941794388542,-0.707941794388542,4370.264372045,-40.06101923305483
-0.007220191109918552,0.11074132956050356,-0.08805671933632858,0.14148366652410801,-0.007223922042508198,-0.6717807761043081,-0.6717807761043081,4369.699087683795,-40.02486073871503
-0.007211916285127592,0.11395394986162144,-0.08407126961905714,0.14161031411738742,-0.007215647217717239,-0.6356248057089409,-0.6356248057089409,4369.058761601467,-39.988707542961365
-0.007203641460336632,0.11702469207566786,-0.07997063247762858,0.14173948149431342,-0.007207372392926278,-0.5994743845969875,-0.5994743845969875,4368.369164321281,-39.95256005350438
-0.0071953666355456716,0.11994927062363571,-0.07575971030213215,0.14187093158291864,-0.007199097568135318,-0.5633298267949562,-0.5633298267949562,4367.647796427347,-39.91641853324032
-0.007187091810754711,0.12272357406111072,-0.07144357003354643,0.14200443418946881,-0.007190822743344358,-0.5271913440688671,-0.5271913440688671,4366.901095951271,-39.88028319179187
-0.007178816985963752,0.12534366740897498,-0.06702744963518929,0.14213976911522536,-0.007182547918553398,-0.4910591438980614,-0.4910591438980614,4366.124502672796,-39.84415427651673
-0.0071705421611727915,0.1278057938327143,-0.06251676142577857,0.14227672471763603,-0.007174273093762438,-0.45493351351859873,-0.45493351351859873,4365.305599817992,-39.80803213751924
-0.007162267336381831,0.13010637723651072,-0.057917090055514285,0.14241509301372446,-0.007165998268971478,-0.4188148659030778,-0.4188148659030778,4364.429491850453,-39.77191724816168
-0.007153992511590872,0.132242026838975,-0.05323418413091428,0.14255466327891303,-0.007157723444180518,-0.3827037348034776,-0.3827037348034776,4363.484814431849,-39.73581017584424
-0.007145717686799911,0.13420954380099287,-0.048473942032871434,0.14269521611980132,-0.007149448619389558,-0.3466007212682025,-0.3466007212682025,4362.468674274729,-39.69971151190857
-0.007137442862008951,0.13600592895877142,-0.043642393748457145,0.14283651929402982,-0.007141173794598598,-0.310506406932125,-0.310506406932125,4361.389390565368,-39.66362177885649
